title,url,property_type,price,location,rooms,bathrooms,square_meters,floor
Piso en Paseo de Muñoz Grandes,https://www.pisos.com/comprar/piso-carabanchel_vista_alegre28025-60013448503_104700/,flat,245.000 €,Vista Alegre (Distrito Carabanchel. Madrid Capital),3,1,65,3
Piso en Argüelles,https://www.pisos.com/comprar/piso-moncloa_aravaca_arguelles-63389547922_100200/,flat,2.400.000 €,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),6,5,257,7
Piso en calle de Mudela,https://www.pisos.com/comprar/piso-puente_de_vallecas_entrevias28053-62568526544_100500/,flat,260.000 €,Entrevías (Distrito Puente de Vallecas. Madrid Capital),3,2,94,5
Piso en calle de Juan de Dios,https://www.pisos.com/comprar/piso-universidad_malasana28015-53335717624_100200/,flat,525.000 €,Universidad-Malasaña (Distrito Centro. Madrid Capital),4,1,87,4
Piso en calle de Lucano,https://www.pisos.com/comprar/piso-san_blas_canillejas-62554735183_100200/,flat,225.000 €,Canillejas (Distrito San Blas. Madrid Capital),2,1,56,unknown
Piso en calle de Carlos y Guillermo Fernández Shaw,https://www.pisos.com/comprar/piso-adelfas-63378975175_100500/,flat,995.000 €,Adelfas (Distrito Retiro. Madrid Capital),4,2,138,2
Piso en Retiro - Pacífico,https://www.pisos.com/comprar/piso-retiro_pacifico-59207830387_106000/,flat,838.000 €,Pacífico (Distrito Retiro. Madrid Capital),4,2,133,7
Piso en calle del Pelícano,https://www.pisos.com/comprar/piso-abrantes-63404606382_100200/,flat,217.000 €,Abrantes (Distrito Carabanchel. Madrid Capital),1,1,54,unknown
Piso en calle Puerto de Pozazal,https://www.pisos.com/comprar/piso-casco_historico_de_vallecas-61753422976_100200/,flat,185.000 €,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),1,1,43,unknown
Piso en Avenida de Oporto,https://www.pisos.com/comprar/piso-abrantes28019-59171447801_100200/,flat,300.000 €,Abrantes (Distrito Carabanchel. Madrid Capital),3,1,77,unknown
Piso en calle de Sánchez Barcáiztegui,https://www.pisos.com/comprar/piso-retiro_pacifico28007-55037052332_101800/,flat,434.000 €,Pacífico (Distrito Retiro. Madrid Capital),3,1,80,2
Piso en Pueblo Nuevo,https://www.pisos.com/comprar/piso-ciudad_lineal_pueblo_nuevo-63423380509_100200/,flat,370.000 €,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),3,1,82,2
Piso en Ambroz,https://www.pisos.com/comprar/piso-vicalvaro_ambroz-62503274828_100200/,flat,485.000 €,Ambroz (Distrito Vicálvaro. Madrid Capital),3,2,151,unknown
Piso en Sol,https://www.pisos.com/comprar/piso-sol_barrio28013-60097023271_105100/,flat,527.000 €,Sol (Distrito Centro. Madrid Capital),1,1,42,6
Piso en Acacias,https://www.pisos.com/comprar/piso-acacias28005-60038038902_105100/,flat,933.000 €,Acacias (Distrito Arganzuela. Madrid Capital),2,2,100,6
Piso en Portazgo,https://www.pisos.com/comprar/piso-puente_de_vallecas_portazgo-59201695108_105100/,flat,251.000 €,Portazgo (Distrito Puente de Vallecas. Madrid Capital),3,1,61,1
Estudio en calle de los Abades,https://www.pisos.com/comprar/estudio-centro_embajadores_lavapies28012-61683385060_100500/,studio,175.000 €,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1,1,35,
Piso en calle de Siena,https://www.pisos.com/comprar/piso-ciudad_lineal_quintana-63350356378_101800/,flat,590.000 €,Quintana (Distrito Ciudad Lineal. Madrid Capital),3,2,128,unknown
Piso en calle de Alcalá,https://www.pisos.com/comprar/piso-jeronimos-63384847171_100500/,flat,990.000 €,Jerónimos (Distrito Retiro. Madrid Capital),2,2,112,5
Piso en calle del Duque de Sesto,https://www.pisos.com/comprar/piso-goya28009-61701683208_100500/,flat,1.055.000 €,Goya (Distrito Barrio de Salamanca. Madrid Capital),2,2,90,3
Chalet en calle de Siguero,https://www.pisos.com/comprar/chalet-fuentelarreina28035-39193142319_101800/,house,3.000.000 €,Fuentelarreina (Distrito Fuencarral-El Pardo. Madrid Capital),6,8,880,not applicable
Piso en calle de Canillas,https://www.pisos.com/comprar/piso-chamartin_prosperidad-63409567060_100500/,flat,660.000 €,Prosperidad (Distrito Chamartín. Madrid Capital),3,2,98,1
Piso en Bellas Vistas,https://www.pisos.com/comprar/piso-bellas_vistas-32588824981_100200/,flat,359.000 €,Bellas Vistas (Distrito Tetuán. Madrid Capital),2,1,54,1
Piso en calle de Ruiz,https://www.pisos.com/comprar/piso-trafalgar-62560978021_100500/,flat,1.190.000 €,Trafalgar (Distrito Chamberí. Madrid Capital),2,2,146,3
